brand,model,year,categoria_antiguedad
Hyundai,Verna CRDi 1.6 AT SX Option,2018-01-01,Reciente
Toyota,Fortuner 3.0 Diesel,2009-01-01,Antiguo
Hyundai,Verna VTVT 1.6 AT SX Option,2017-01-01,Medio
Mitsubishi,Pajero Sport 4X4,2012-01-01,Medio
Tata,Safari Storme VX Varicor 400,2018-01-01,Reciente
Tata,Safari Storme VX Varicor 400,2018-01-01,Reciente
Toyota,Innova 2.5 V Diesel 7-seater,2011-01-01,Medio
Honda,BR-V i-VTEC VX MT,2017-01-01,Medio
Hyundai,Creta 1.4 EX Diesel,2020-01-01,Reciente
Mahindra,Scorpio 1.99 S10,2014-01-01,Medio
Toyota,Innova 2.5 Z Diesel 7 Seater BS IV,2014-01-01,Medio
Mahindra,XUV500 W5 BSIV,2018-01-01,Reciente
Toyota,Innova 2.5 Z Diesel 7 Seater BS IV,2014-01-01,Medio
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014-01-01,Medio
BMW,7 Series 730Ld,2006-01-01,Antiguo
BMW,7 Series 730Ld,2006-01-01,Antiguo
Hyundai,Venue SX Opt Turbo BSIV,2020-01-01,Reciente
Hyundai,Creta 1.4 EX Diesel,2020-01-01,Reciente
Hyundai,Verna 1.6 CRDi AT SX,2017-01-01,Medio
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014-01-01,Medio
Mahindra,XUV500 W10 1.99 mHawk,2016-01-01,Medio
Honda,City i-DTEC V,2017-01-01,Medio
Honda,BR-V i-DTEC VX MT,2018-01-01,Reciente
Hyundai,Creta 1.6 SX Automatic,2017-01-01,Medio
Ford,Ecosport 1.5 Petrol Trend,2020-01-01,Reciente
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014-01-01,Medio
Honda,City i-DTEC ZX,2017-01-01,Medio
Hyundai,Creta 1.6 CRDi SX Option,2015-01-01,Medio
Hyundai,Creta 1.6 SX Option,2017-01-01,Medio
Hyundai,Creta 1.6 SX Option,2017-01-01,Medio
Mahindra,Scorpio 1.99 S10,2016-01-01,Medio
Mitsubishi,Pajero Sport 4X4,2012-01-01,Medio
Maruti,S-Cross Zeta DDiS 200 SH,2018-01-01,Reciente
Toyota,Innova 2.5 G (Diesel) 8 Seater,2013-01-01,Medio
Tata,Safari Storme VX,2016-01-01,Medio
Mahindra,Scorpio BSIV,2019-01-01,Reciente
Maruti,Ertiga SHVS ZDI Plus,2017-01-01,Medio
Skoda,Superb Elegance 2.0 TDI CR AT,2015-01-01,Medio
Ford,Endeavour 3.0L 4X4 AT,2011-01-01,Medio
Tata,Hexa XM,2017-01-01,Medio
Toyota,Innova 2.5 G (Diesel) 8 Seater,2014-01-01,Medio
Mahindra,XUV500 W8 2WD,2015-01-01,Medio
Maruti,Ertiga 1.5 VDI,2019-01-01,Reciente
Hyundai,Verna CRDi 1.6 SX,2019-01-01,Reciente
Mahindra,Scorpio 1.99 S10,2017-01-01,Medio
Maruti,Ertiga SHVS ZDI Plus,2017-01-01,Medio
Chevrolet,Cruze LTZ,2015-01-01,Medio
Mercedes-Benz,E-Class 230,1998-01-01,Antiguo
Maruti,S-Cross Alpha DDiS 200 SH,2017-01-01,Medio
Honda,City i-DTEC VX,2017-01-01,Medio
Hyundai,Venue SX Opt Diesel,2020-01-01,Reciente
Renault,Captur 1.5 Diesel RXT Mono,2018-01-01,Reciente
Ford,Ecosport 1.5 Diesel Titanium,2020-01-01,Reciente
Nissan,Terrano XL Plus ICC WT20 SE,2016-01-01,Medio
Hyundai,Santa Fe 4WD AT,2014-01-01,Medio
Maruti,Ertiga SHVS ZDI Plus,2017-01-01,Medio
Honda,City i-VTEC VX,2018-01-01,Reciente
Toyota,Innova 2.5 VX (Diesel) 7 Seater,2013-01-01,Medio
Mercedes-Benz,E-Class 230,1998-01-01,Antiguo
Toyota,Innova 2.5 GX 7 STR BSIV,2012-01-01,Medio
Mahindra,XUV500 W6 1.99 mHawk,2016-01-01,Medio
Mahindra,XUV500 W6 2WD,2017-01-01,Medio
Chevrolet,Cruze LTZ,2015-01-01,Medio
Toyota,Fortuner 4x4 MT,2014-01-01,Medio
Toyota,Fortuner 3.0 Diesel,2010-01-01,Medio
Mahindra,XUV300 W8 Option Diesel BSIV,2019-01-01,Reciente
Mercedes-Benz,E-Class E250 CDI Elegance,2011-01-01,Medio
Mercedes-Benz,E-Class E250 CDI Elegance,2011-01-01,Medio
Toyota,Innova 2.5 G (Diesel) 8 Seater,2016-01-01,Medio
Maruti,Ertiga SHVS ZDI Plus,2018-01-01,Reciente
Maruti,Vitara Brezza ZDi Plus Dual Tone,2018-01-01,Reciente
Maruti,Vitara Brezza ZDi Plus,2016-01-01,Medio
Maruti,Vitara Brezza ZDi Plus AMT,2018-01-01,Reciente
Tata,Hexa XM,2017-01-01,Medio
Mahindra,XUV500 AT W10 AWD,2016-01-01,Medio
Hyundai,Creta 1.6 CRDi SX Option,2015-01-01,Medio
Maruti,Ertiga ZXI AT Petrol,2019-01-01,Reciente
Maruti,Vitara Brezza ZDi Plus AMT Dual Tone,2018-01-01,Reciente
Hyundai,Creta 1.4 CRDi S Plus,2016-01-01,Medio
Maruti,Vitara Brezza ZDi Plus AMT Dual Tone,2018-01-01,Reciente
Volkswagen,Polo GT 1.0 TSI,2019-01-01,Reciente
Ford,EcoSport 1.5 Diesel Titanium BSIV,2019-01-01,Reciente
Honda,BR-V i-DTEC VX MT,2017-01-01,Medio
Toyota,Innova 2.5 G1 BSIV,2012-01-01,Medio
Ford,EcoSport 1.5 TDCi Titanium BSIV,2018-01-01,Reciente
Toyota,Innova 2.5 VX (Diesel) 7 Seater,2013-01-01,Medio
Honda,City i DTec V,2017-01-01,Medio
Mahindra,Thar CRDe,2018-01-01,Reciente
Toyota,Innova 2.5 G1 BSIV,2012-01-01,Medio
Mahindra,Marazzo M4,2018-01-01,Reciente
Hyundai,Verna VTVT 1.6 AT SX Option,2018-01-01,Reciente
Honda,City i-VTEC VX,2017-01-01,Medio
Maruti,S-Cross Alpha DDiS 200 SH,2018-01-01,Reciente
Ford,EcoSport 1.5 TDCi Titanium BSIV,2018-01-01,Reciente
Chevrolet,Cruze LTZ AT,2017-01-01,Medio
Maruti,Vitara Brezza ZDi Plus AMT Dual Tone,2018-01-01,Reciente
Hyundai,Creta 1.4 CRDi Base,2018-01-01,Reciente
Ford,EcoSport 1.5 TDCi Titanium BSIV,2018-01-01,Reciente
Maruti,S-Cross Delta DDiS 200 SH,2019-01-01,Reciente
Volkswagen,Jetta 1.9 TDI Trendline,2009-01-01,Antiguo
Maruti,Ertiga SHVS ZDI Plus,2017-01-01,Medio
Toyota,Innova 2.5 GX (Diesel) 7 Seater,2015-01-01,Medio
Toyota,Innova 2.5 GX (Diesel) 7 Seater,2015-01-01,Medio
Maruti,Vitara Brezza ZDi Plus,2018-01-01,Reciente
Skoda,Rapid 1.5 TDI Ambition BSIV,2018-01-01,Reciente
Volkswagen,Jetta 1.4 TSI Comfortline,2017-01-01,Medio
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2018-01-01,Reciente
Honda,City V MT,2018-01-01,Reciente
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2018-01-01,Reciente
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2017-01-01,Medio
Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,2018-01-01,Reciente
Hyundai,Creta 1.6 CRDi SX,2016-01-01,Medio
Maruti,Ciaz Zeta BSIV,2019-01-01,Reciente
Ford,EcoSport 1.5 TDCi Titanium Plus BE BSIV,2018-01-01,Reciente
Maruti,Ciaz 1.4 Alpha,2018-01-01,Reciente
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2013-01-01,Medio
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2013-01-01,Medio
Maruti,Ciaz 1.4 Alpha,2018-01-01,Reciente
