brand,model,year,selling_price,categoria_precio
Toyota,Fortuner 2.8 4WD AT BSIV,2019-01-01,3100000,Caro
Audi,A4 30 TFSI Technology,2018-01-01,3100000,Caro
BMW,3 Series GT Luxury Line,2017-01-01,3050000,Caro
BMW,5 Series 520d Luxury Line,2017-01-01,2900000,Caro
BMW,5 Series 520d Luxury Line,2017-01-01,2900000,Caro
Ford,Endeavour 2.2 Titanium AT 4X2,2019-01-01,2800000,Caro
Toyota,Fortuner 2.8 2WD AT BSIV,2017-01-01,2800000,Caro
Audi,A8 4.2 TDI,2013-01-01,2800000,Caro
Toyota,Fortuner 2.8 2WD AT BSIV,2018-01-01,2800000,Caro
Audi,A8 4.2 TDI,2013-01-01,2800000,Caro
BMW,X1 sDrive 20d xLine,2017-01-01,2750000,Caro
Toyota,Fortuner 2.8 4WD AT BSIV,2017-01-01,2750000,Caro
BMW,X1 sDrive 20d xLine,2017-01-01,2750000,Caro
Toyota,Fortuner 2.8 4WD AT BSIV,2017-01-01,2750000,Caro
Audi,Q3 35 TDI Quattro Technology,2018-01-01,2700000,Caro
Mahindra,Alturas G4 4X2 AT BSIV,2019-01-01,2700000,Caro
Ford,Endeavour 3.2 Titanium AT 4X4,2017-01-01,2700000,Caro
Ford,Endeavour 3.2 Titanium AT 4X4,2017-01-01,2700000,Caro
Ford,Endeavour 3.2 Titanium AT 4X4,2018-01-01,2675000,Caro
Ford,Endeavour Titanium Plus 4X4,2017-01-01,2675000,Caro
Ford,Endeavour Titanium Plus 4X4,2017-01-01,2650000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
BMW,X1 sDrive 20d xLine,2019-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2600000,Caro
BMW,X1 sDrive 20d xLine,2019-01-01,2600000,Caro
Toyota,Fortuner 4x2 AT,2017-01-01,2595000,Caro
Audi,Q3 35 TDI Quattro Technology,2017-01-01,2575000,Caro
Jaguar,XJ 5.0 L V8 Supercharged,2010-01-01,2550000,Caro
BMW,7 Series 730Ld,2012-01-01,2500000,Caro
Toyota,Fortuner 2.7 2WD AT,2016-01-01,2500000,Caro
Mercedes-Benz,E-Class E250 CDI Blue Efficiency,2012-01-01,2500000,Caro
Mercedes-Benz,M-Class ML 350 CDI,2014-01-01,2500000,Caro
Mercedes-Benz,New C-Class C 220 CDI Grand Edition,2014-01-01,2490000,Caro
BMW,X1 sDrive 20d xLine,2017-01-01,2400000,Caro
Land,Rover Range Rover Evoque 2.2L Dynamic,2012-01-01,2349000,Caro
Audi,A4 35 TDI Premium,2015-01-01,2300000,Caro
BMW,3 Series 320d Luxury Line,2018-01-01,2300000,Caro
BMW,3 Series 320d Luxury Line,2015-01-01,2200000,Caro
BMW,3 Series 320d Luxury Line,2016-01-01,2150000,Caro
Ford,Endeavour 3.2 Titanium AT 4X4,2016-01-01,2100000,Caro
Jaguar,XF 5.0 Litre V8 Petrol,2012-01-01,2050000,Caro
Jaguar,XF 5.0 Litre V8 Petrol,2012-01-01,2050000,Caro
Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,2013-01-01,2000000,Caro
BMW,3 Series 320d Sport,2013-01-01,2000000,Caro
Volvo,XC60 D5 Inscription,2014-01-01,2000000,Caro
Jaguar,XF 3.0 Litre S Premium Luxury,2013-01-01,2000000,Caro
Volvo,V40 D3 R Design,2018-01-01,1975000,Caro
Jaguar,XF 2.2 Litre Luxury,2014-01-01,1964999,Caro
Ford,Endeavour 3.2 Titanium AT 4X4,2016-01-01,1950000,Caro
Toyota,Camry Hybrid 2.5,2017-01-01,1900000,Caro
Toyota,Innova Crysta 2.4 VX MT 8S BSIV,2019-01-01,1900000,Caro
Toyota,Camry 2.5 Hybrid,2017-01-01,1900000,Caro
Toyota,Innova Crysta 2.4 VX MT 8S BSIV,2017-01-01,1900000,Caro
Toyota,Camry Hybrid 2.5,2017-01-01,1900000,Caro
MG,Hector Smart AT,2019-01-01,1860000,Caro
Mahindra,XUV500 W11 Option AT AWD,2019-01-01,1850000,Caro
Audi,Q5 2.0 TFSI Quattro Premium Plus,2014-01-01,1850000,Caro
Audi,Q5 2.0 TFSI Quattro Premium Plus,2014-01-01,1850000,Caro
MG,Hector Sharp Diesel MT BSIV,2019-01-01,1825000,Caro
Honda,CR-V Diesel 4WD,2018-01-01,1800000,Caro
Toyota,Fortuner 4x2 AT,2014-01-01,1800000,Caro
Jaguar,XF 3.0 Litre S Premium Luxury,2012-01-01,1800000,Caro
Ford,Endeavour 3.2 Titanium AT 4X4,2016-01-01,1800000,Caro
Toyota,Innova Crysta 2.8 ZX AT BSIV,2016-01-01,1800000,Caro
Toyota,Fortuner 4x2 Manual,2014-01-01,1800000,Caro
Toyota,Innova Crysta 2.4 VX MT,2016-01-01,1800000,Caro
Toyota,Innova Crysta 2.4 VX MT BSIV,2017-01-01,1770000,Caro
Toyota,Innova Crysta 2.4 VX MT BSIV,2017-01-01,1770000,Caro
Audi,A6 2.0 TDI Design Edition,2014-01-01,1750000,Caro
Audi,A6 2.0 TDI Design Edition,2014-01-01,1750000,Caro
Audi,Q3 2.0 TDI Quattro Premium Plus,2015-01-01,1750000,Caro
Audi,Q3 2.0 TDI Quattro Premium Plus,2015-01-01,1750000,Caro
Volvo,XC60 D3 Kinetic,2012-01-01,1750000,Caro
Audi,A6 2.0 TDI Design Edition,2013-01-01,1735000,Caro
Toyota,Innova Crysta 2.4 GX AT,2018-01-01,1725000,Caro
Toyota,Innova Crysta 2.4 GX AT,2018-01-01,1725000,Caro
Toyota,Innova Crysta 2.4 GX MT 8S BSIV,2018-01-01,1700000,Caro
Tata,Harrier XZ BSIV,2019-01-01,1700000,Caro
Jeep,Compass 2.0 Longitude Option BSIV,2018-01-01,1700000,Caro
Tata,Harrier XZ BSIV,2019-01-01,1700000,Caro
Toyota,Innova Crysta 2.8 ZX AT BSIV,2017-01-01,1700000,Caro
Toyota,Innova Crysta 2.4 VX MT 8S BSIV,2018-01-01,1700000,Caro
BMW,7 Series 730Ld,2011-01-01,1700000,Caro
Toyota,Fortuner 3.0 Diesel,2012-01-01,1680000,Caro
Toyota,Corolla Altis 1.8 VL CVT,2018-01-01,1650000,Caro
Toyota,Corolla Altis 1.8 VL CVT,2018-01-01,1650000,Caro
Hyundai,Tucson 2.0 e-VGT 2WD MT,2017-01-01,1650000,Caro
Hyundai,Tucson 2.0 e-VGT 2WD MT,2017-01-01,1650000,Caro
Mahindra,XUV500 W11 AT BSIV,2018-01-01,1600000,Caro
Tata,Hexa XT 4X4,2017-01-01,1600000,Caro
Hyundai,Tucson 2.0 e-VGT 2WD AT GL,2018-01-01,1600000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Audi,A4 3.0 TDI Quattro,2013-01-01,1580000,Caro
Hyundai,Elantra 2.0 SX AT,2018-01-01,1575000,Caro
BMW,3 Series 320d Sport Line,2013-01-01,1550000,Caro
Audi,A4 New 2.0 TDI Multitronic,2014-01-01,1549000,Caro
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2015-01-01,1500000,Caro
Mahindra,XUV500 W10 2WD,2018-01-01,1500000,Caro
Toyota,Innova Crysta 2.4 VX MT BSIV,2018-01-01,1500000,Caro
Isuzu,D-Max V-Cross Standard,2018-01-01,1500000,Caro
Toyota,Corolla Altis 1.8 GL,2019-01-01,1500000,Caro
Mahindra,Scorpio S11 BSIV,2018-01-01,1500000,Caro
Mahindra,Scorpio S11 BSIV,2017-01-01,1500000,Caro
Mercedes-Benz,New C-Class 220 CDI AT,2013-01-01,1500000,Caro
Hyundai,Creta 1.6 CRDi SX Option,2018-01-01,1490000,Caro
BMW,3 Series 320d Sport,2013-01-01,1490000,Caro
Jeep,Compass 2.0 Longitude Option BSIV,2017-01-01,1490000,Caro
Hyundai,Creta 1.6 CRDi SX Option,2018-01-01,1490000,Caro
BMW,X1 sDrive20d M Sport,2014-01-01,1485000,Caro
Hyundai,Creta 1.6 VTVT AT SX Plus,2018-01-01,1475000,Caro
Hyundai,Creta 1.6 VTVT AT SX Plus,2018-01-01,1475000,Caro
Audi,A6 2.0 TDI Premium Plus,2014-01-01,1470000,Caro
Audi,A6 2.0 TDI Premium Plus,2014-01-01,1470000,Caro
Mercedes-Benz,E-Class E250 Edition E,2013-01-01,1451000,Caro
Mahindra,XUV500 W10 2WD,2018-01-01,1450000,Caro
Mercedes-Benz,New C-Class 220 CDI AT,2013-01-01,1425000,Caro
Mahindra,XUV500 W10 2WD,2018-01-01,1400000,Caro
Mahindra,XUV500 W7 AT BSIV,2018-01-01,1400000,Caro
Audi,Q3 2.0 TDI Quattro Premium Plus,2012-01-01,1400000,Caro
Tata,Harrier XZ BSIV,2019-01-01,1400000,Caro
Mahindra,XUV500 AT W10 FWD,2018-01-01,1400000,Caro
Mahindra,XUV500 W11 Option AWD,2020-01-01,1400000,Caro
Mahindra,XUV500 W11 Option AWD,2020-01-01,1400000,Caro
Jeep,Compass 1.4 Sport Plus BSIV,2019-01-01,1400000,Caro
Mahindra,XUV500 W7 BSIV,2019-01-01,1400000,Caro
Toyota,Fortuner 4x4 MT,2015-01-01,1400000,Caro
Mahindra,Scorpio S11 BSIV,2018-01-01,1380000,Caro
BMW,X1 sDrive 20d Exclusive,2011-01-01,1375000,Caro
Mercedes-Benz,New C-Class C 220 CDI Avantgarde,2012-01-01,1375000,Caro
Tata,Hexa XTA,2018-01-01,1350000,Caro
Mahindra,XUV500 AT W10 AWD,2017-01-01,1350000,Caro
Audi,Q5 2.0 TDI,2012-01-01,1350000,Caro
Nissan,Kicks XV Premium D BSIV,2019-01-01,1350000,Caro
Mahindra,Scorpio S9 BSIV,2019-01-01,1350000,Caro
Volkswagen,Vento 1.5 TDI Highline BSIV,2019-01-01,1350000,Caro
Toyota,Innova Crysta 2.8 GX AT BSIV,2016-01-01,1350000,Caro
Ford,EcoSport 1.5 TDCi Titanium Plus BSIV,2020-01-01,1334000,Caro
Ford,Ecosport Thunder Edition Diesel,2020-01-01,1331000,Caro
Toyota,Innova Crysta 2.4 ZX MT,2017-01-01,1330000,Caro
Toyota,Innova 2.5 G (Diesel) 7 Seater,2015-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Mahindra,Scorpio S11 BSIV,2018-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Mahindra,XUV500 AT W6 2WD,2017-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Mahindra,Scorpio S11 BSIV,2018-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Kia,Seltos HTK Plus AT D,2019-01-01,1300000,Caro
Toyota,Innova Crysta 2.4 G MT BSIV,2016-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Mahindra,Marazzo M8 8Str,2018-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Mahindra,Marazzo M8 8Str,2018-01-01,1300000,Caro
Hyundai,Creta 1.6 CRDi SX Option,2016-01-01,1300000,Caro
Toyota,Innova Crysta 2.4 VX MT BSIV,2017-01-01,1300000,Caro
Audi,A6 2.0 TDI Premium Plus,2013-01-01,1300000,Caro
Audi,A4 2.0 TDI,2011-01-01,1295000,Caro
Hyundai,Verna CRDi 1.6 SX Option,2019-01-01,1295000,Caro
Mahindra,XUV500 W6 2WD,2016-01-01,1290000,Caro
Tata,Hexa XM,2018-01-01,1280000,Caro
Hyundai,Creta 1.6 CRDi SX,2017-01-01,1260000,Caro
Audi,A8 L 3.0 TDI quattro,2009-01-01,1250000,Caro
Hyundai,Creta 1.6 CRDi SX Plus,2018-01-01,1250000,Caro
Audi,Q7 35 TDI Quattro Premium,2009-01-01,1250000,Caro
Toyota,Fortuner 3.0 Diesel,2010-01-01,1250000,Caro
Mahindra,XUV500 W10 1.99 mHawk,2016-01-01,1250000,Caro
Honda,BRV i-DTEC V MT,2017-01-01,1250000,Caro
Tata,Safari Storme EX,2019-01-01,1250000,Caro
Ford,Ecosport 1.5 Diesel Titanium Plus,2019-01-01,1250000,Caro
Honda,BR-V i-VTEC VX MT,2020-01-01,1250000,Caro
Mahindra,XUV500 W10 2WD,2016-01-01,1250000,Caro
Mahindra,XUV500 AT W10 FWD,2015-01-01,1250000,Caro
Honda,BR-V i-DTEC VX MT,2016-01-01,1249000,Caro
Hyundai,Creta 1.6 CRDi SX Plus,2016-01-01,1249000,Caro
Honda,WR-V i-DTEC VX,2019-01-01,1240000,Caro
Mahindra,XUV500 AT W8 FWD,2017-01-01,1230000,Caro
Honda,City i-VTEC CVT ZX,2018-01-01,1225000,Caro
Mahindra,XUV500 W10 AWD,2015-01-01,1225000,Caro
Skoda,Octavia Elegance 2.0 TDI AT,2014-01-01,1200000,Caro
Honda,City i-VTEC ZX,2018-01-01,1200000,Caro
Hyundai,Verna CRDi 1.6 SX Option,2018-01-01,1200000,Caro
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014-01-01,1200000,Caro
Mahindra,Scorpio S5 BSIV,2020-01-01,1200000,Caro
Honda,City i-VTEC ZX,2018-01-01,1200000,Caro
Skoda,Octavia Elegance 2.0 TDI AT,2014-01-01,1200000,Caro
Honda,City i-VTEC ZX,2018-01-01,1200000,Caro
Toyota,Innova 2.5 VX (Diesel) 7 Seater,2015-01-01,1200000,Caro
Hyundai,Creta 1.6 SX,2019-01-01,1200000,Caro
Hyundai,Creta 1.6 SX Option,2018-01-01,1200000,Caro
BMW,5 Series 525d Sedan,2009-01-01,1200000,Caro
Tata,Hexa XT,2017-01-01,1200000,Caro
Mahindra,XUV500 W10 2WD,2015-01-01,1200000,Caro
Skoda,Octavia Elegance 2.0 TDI AT,2014-01-01,1200000,Caro
Audi,A4 1.8 TFSI,2012-01-01,1200000,Caro
Tata,Hexa XTA,2017-01-01,1200000,Caro
Hyundai,Verna CRDi 1.6 SX Option,2019-01-01,1200000,Caro
Tata,Hexa XTA,2017-01-01,1200000,Caro
Hyundai,Verna 1.6 CRDI SX Option,2017-01-01,1200000,Caro
Hyundai,Creta 1.6 CRDi AT SX Plus,2016-01-01,1199000,Caro
Hyundai,Venue SX Opt Diesel,2019-01-01,1195000,Caro
Audi,Q5 2.0 TDI,2011-01-01,1190000,Caro
Honda,BR-V i-DTEC VX MT,2017-01-01,1189000,Caro
Honda,City i-VTEC CVT ZX,2018-01-01,1165000,Caro
Hyundai,Creta 1.6 CRDi SX,2016-01-01,1151000,Caro
Hyundai,Verna CRDi 1.6 SX Option,2018-01-01,1150000,Caro
Hyundai,Creta 1.6 SX Automatic Diesel,2015-01-01,1150000,Caro
Mahindra,XUV500 W7 BSIV,2018-01-01,1150000,Caro
Toyota,Corolla Altis GL MT,2016-01-01,1150000,Caro
Mahindra,XUV500 AT W10 1.99 mHawk,2017-01-01,1150000,Caro
Mahindra,XUV500 W7,2018-01-01,1150000,Caro
Audi,A4 2.0 TDI 177 Bhp Premium Plus,2013-01-01,1150000,Caro
Hyundai,Verna CRDi 1.6 SX Option,2018-01-01,1150000,Caro
Mahindra,XUV300 W8 Option,2019-01-01,1150000,Caro
Hyundai,Verna CRDi 1.6 SX Option,2018-01-01,1150000,Caro
Hyundai,Creta 1.6 SX Automatic Diesel,2015-01-01,1150000,Caro
Audi,Q3 2.0 TDI Quattro Premium Plus,2014-01-01,1150000,Caro
Audi,A4 2.0 TDI 177 Bhp Premium Plus,2013-01-01,1150000,Caro
Honda,City i-VTEC VX,2018-01-01,1150000,Caro
Toyota,Innova 2.5 V Diesel 7-seater,2014-01-01,1150000,Caro
Honda,City i-VTEC CVT ZX,2018-01-01,1140000,Caro
Toyota,Innova 2.5 G (Diesel) 7 Seater,2015-01-01,1125000,Caro
Ford,EcoSport 1.5 Ti VCT MT Titanium BE BSIV,2020-01-01,1119000,Caro
Audi,Q5 2.0 TFSI Quattro,2010-01-01,1100000,Caro
Ford,Ecosport 1.5 Petrol Titanium Plus,2019-01-01,1100000,Caro
Mahindra,Scorpio S7 140 BSIV,2018-01-01,1100000,Caro
Tata,Hexa XT,2019-01-01,1100000,Caro
Hyundai,Verna CRDi 1.6 AT EX,2018-01-01,1100000,Caro
Hyundai,Verna VTVT 1.6 AT SX Option,2017-01-01,1100000,Caro
Tata,Hexa XT,2019-01-01,1100000,Caro
Mahindra,Xylo H8 ABS with Airbags,2018-01-01,1100000,Caro
Mercedes-Benz,B Class B180 Sports,2013-01-01,1100000,Caro
Maruti,Ertiga ZDI Plus,2019-01-01,1100000,Caro
Ford,Ecosport Sports Petrol,2020-01-01,1100000,Caro
Hyundai,Verna CRDi 1.6 SX Option,2019-01-01,1100000,Caro
Volkswagen,Vento 1.5 TDI Highline Plus AT BSIV,2019-01-01,1100000,Caro
Nissan,Kicks XL D BSIV,2019-01-01,1100000,Caro
Mahindra,Scorpio S7 140 BSIV,2018-01-01,1100000,Caro
Hyundai,Verna CRDi 1.6 AT EX,2018-01-01,1100000,Caro
Maruti,Ertiga ZDI Plus,2019-01-01,1100000,Caro
Hyundai,Verna CRDi 1.6 AT SX Option,2018-01-01,1100000,Caro
Toyota,Fortuner 3.0 Diesel,2009-01-01,1100000,Caro
Hyundai,Verna VTVT 1.6 AT SX Option,2017-01-01,1100000,Caro
Mitsubishi,Pajero Sport 4X4,2012-01-01,1090000,Caro
Tata,Safari Storme VX Varicor 400,2018-01-01,1085000,Caro
Tata,Safari Storme VX Varicor 400,2018-01-01,1085000,Caro
Toyota,Innova 2.5 V Diesel 7-seater,2011-01-01,1075000,Caro
Honda,BR-V i-VTEC VX MT,2017-01-01,1068000,Caro
Hyundai,Creta 1.4 EX Diesel,2020-01-01,1050000,Caro
Mahindra,Scorpio 1.99 S10,2014-01-01,1050000,Caro
Toyota,Innova 2.5 Z Diesel 7 Seater BS IV,2014-01-01,1050000,Caro
Mahindra,XUV500 W5 BSIV,2018-01-01,1050000,Caro
Toyota,Innova 2.5 Z Diesel 7 Seater BS IV,2014-01-01,1050000,Caro
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014-01-01,1050000,Caro
BMW,7 Series 730Ld,2006-01-01,1050000,Caro
BMW,7 Series 730Ld,2006-01-01,1050000,Caro
Hyundai,Venue SX Opt Turbo BSIV,2020-01-01,1050000,Caro
Hyundai,Creta 1.4 EX Diesel,2020-01-01,1050000,Caro
Hyundai,Verna 1.6 CRDi AT SX,2017-01-01,1050000,Caro
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014-01-01,1050000,Caro
Mahindra,XUV500 W10 1.99 mHawk,2016-01-01,1044999,Caro
Honda,City i-DTEC V,2017-01-01,1044999,Caro
Honda,BR-V i-DTEC VX MT,2018-01-01,1040000,Caro
Hyundai,Creta 1.6 SX Automatic,2017-01-01,1035000,Caro
Ford,Ecosport 1.5 Petrol Trend,2020-01-01,1030000,Caro
Toyota,Innova 2.5 VX (Diesel) 8 Seater,2014-01-01,1030000,Caro
Honda,City i-DTEC ZX,2017-01-01,1025000,Caro
Hyundai,Creta 1.6 CRDi SX Option,2015-01-01,1025000,Caro
Hyundai,Creta 1.6 SX Option,2017-01-01,1025000,Caro
Hyundai,Creta 1.6 SX Option,2017-01-01,1025000,Caro
Mahindra,Scorpio 1.99 S10,2016-01-01,1025000,Caro
Mitsubishi,Pajero Sport 4X4,2012-01-01,1025000,Caro
Maruti,S-Cross Zeta DDiS 200 SH,2018-01-01,1015000,Caro
Toyota,Innova 2.5 G (Diesel) 8 Seater,2013-01-01,1010000,Caro
Tata,Safari Storme VX,2016-01-01,1000000,Caro
Mahindra,Scorpio BSIV,2019-01-01,1000000,Caro
Maruti,Ertiga SHVS ZDI Plus,2017-01-01,1000000,Caro
Skoda,Superb Elegance 2.0 TDI CR AT,2015-01-01,1000000,Caro
Ford,Endeavour 3.0L 4X4 AT,2011-01-01,1000000,Caro
Tata,Hexa XM,2017-01-01,1000000,Caro
Toyota,Innova 2.5 G (Diesel) 8 Seater,2014-01-01,1000000,Caro
Mahindra,XUV500 W8 2WD,2015-01-01,1000000,Caro
Maruti,Ertiga 1.5 VDI,2019-01-01,1000000,Caro
Hyundai,Verna CRDi 1.6 SX,2019-01-01,1000000,Caro
Mahindra,Scorpio 1.99 S10,2017-01-01,1000000,Caro
Maruti,Ertiga SHVS ZDI Plus,2017-01-01,1000000,Caro
Chevrolet,Cruze LTZ,2015-01-01,1000000,Caro
Mercedes-Benz,E-Class 230,1998-01-01,1000000,Caro
Maruti,S-Cross Alpha DDiS 200 SH,2017-01-01,1000000,Caro
Honda,City i-DTEC VX,2017-01-01,1000000,Caro
Hyundai,Venue SX Opt Diesel,2020-01-01,1000000,Caro
Renault,Captur 1.5 Diesel RXT Mono,2018-01-01,1000000,Caro
Ford,Ecosport 1.5 Diesel Titanium,2020-01-01,1000000,Caro
Nissan,Terrano XL Plus ICC WT20 SE,2016-01-01,1000000,Caro
Hyundai,Santa Fe 4WD AT,2014-01-01,1000000,Caro
Maruti,Ertiga SHVS ZDI Plus,2017-01-01,1000000,Caro
Honda,City i-VTEC VX,2018-01-01,1000000,Caro
Toyota,Innova 2.5 VX (Diesel) 7 Seater,2013-01-01,1000000,Caro
Mercedes-Benz,E-Class 230,1998-01-01,1000000,Caro
Toyota,Innova 2.5 GX 7 STR BSIV,2012-01-01,1000000,Caro
Mahindra,XUV500 W6 1.99 mHawk,2016-01-01,1000000,Caro
Mahindra,XUV500 W6 2WD,2017-01-01,1000000,Caro
Chevrolet,Cruze LTZ,2015-01-01,1000000,Caro
Toyota,Fortuner 4x4 MT,2014-01-01,1000000,Caro
Toyota,Fortuner 3.0 Diesel,2010-01-01,1000000,Caro
Mahindra,XUV300 W8 Option Diesel BSIV,2019-01-01,1000000,Caro
Mercedes-Benz,E-Class E250 CDI Elegance,2011-01-01,999000,Caro
Mercedes-Benz,E-Class E250 CDI Elegance,2011-01-01,999000,Caro
Toyota,Innova 2.5 G (Diesel) 8 Seater,2016-01-01,990000,Caro
Maruti,Ertiga SHVS ZDI Plus,2018-01-01,980000,Caro
Maruti,Vitara Brezza ZDi Plus Dual Tone,2018-01-01,980000,Caro
Maruti,Vitara Brezza ZDi Plus,2016-01-01,975000,Caro
Maruti,Vitara Brezza ZDi Plus AMT,2018-01-01,975000,Caro
Tata,Hexa XM,2017-01-01,969999,Caro
Mahindra,XUV500 AT W10 AWD,2016-01-01,969999,Caro
Hyundai,Creta 1.6 CRDi SX Option,2015-01-01,950000,Caro
Maruti,Ertiga ZXI AT Petrol,2019-01-01,950000,Caro
Maruti,Vitara Brezza ZDi Plus AMT Dual Tone,2018-01-01,950000,Caro
Hyundai,Creta 1.4 CRDi S Plus,2016-01-01,950000,Caro
